id;start_date;button_position;my_cards;flop_cards;river_cards;turn_cards
1;2019-11-21T19:57:01;20171;Dynamic;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric
2;2019-11-21T20:41:32;59886;Chilean Peso Unidades de fomento;Web virtual deposit;Squares mint green e-business;Ghana back-end National
3;2019-11-21T14:54:28;90682;contextually-based;synergies copying;ability Hat Iraq;magenta Concrete
4;2019-11-21T14:26:14;24412;Gloves sky blue Oklahoma;robust Engineer;Exclusive Moroccan Dirham card;zero tolerance
5;2019-11-21T21:39:16;26678;Analyst paradigms;encompassing;deposit Canadian Dollar Lebanon;Designer Persistent
6;2019-11-21T06:24:31;8085;24/7 Re-contextualized cross-platform;invoice withdrawal;bypassing optical;installation
7;2019-11-21T18:03:48;69581;HDD;Algerian Dinar;firewall;Future-proofed deposit Sausages
8;2019-11-21T05:57:27;39757;Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented
9;2019-11-21T20:18:19;96541;Virginia THX pink;cross-media;programming SCSI drive;invoice Unbranded Cheese
10;2019-11-21T00:58:29;66898;Alabama transform;invoice Home Gloves;Buckinghamshire Ports;Devolved driver Networked
